,pct_id,over_65,total_list_size
53,03N,96.05214285714285,601247.8571428572
54,03Q,70.41599999999998,357551.71428571426
55,03R,67.949,374727.4285714285
56,03T,64.87371428571429,250928.7142857143
57,03V,10.950428571428573,79059.71428571429
58,03W,72.42657142857144,330231.14285714284
59,04C,46.01942857142857,409016.5714285714
60,15M,208.6102857142857,1050787.142857143
61,04D,46.37128571428571,235750.57142857145
62,04E,36.37771428571428,194402.7142857143
63,04F,38.192857142857136,295206.85714285716
64,04G,117.382,688258.7142857142
65,04H,28.74085714285714,135308.42857142858
66,04K,41.817,379446.71428571426
67,04L,28.847,140776.85714285713
68,04M,22.064285714285717,106208.14285714286
69,04N,26.742857142857144,127428.14285714286
70,04Q,30.349714285714285,133819.57142857145
71,04V,75.55685714285714,393719.28571428574
72,04Y,26.403428571428574,133418.85714285716
73,05A,74.75885714285714,515822.28571428574
74,05C,65.23542857142857,319740.14285714284
75,05D,27.056285714285714,142451.57142857142
76,05F,45.98685714285715,187673.7142857143
77,05G,47.804,217934.14285714284
78,05H,38.174,191992.42857142858
79,05J,34.761714285714284,178030.00000000003
80,05L,70.43457142857143,572296.4285714285
81,05N,76.64842857142858,310614.2857142857
82,05Q,46.33857142857143,218079.0
83,05R,61.39414285714285,288659.14285714284
84,05T,68.967,312462.14285714284
85,05V,33.598,149154.0
86,05W,49.71957142857143,291569.71428571426
87,05X,31.467428571428574,187105.57142857145
88,05Y,48.206,286474.0
89,06A,44.85928571428571,281523.28571428574
90,06D,28.569142857142857,116543.57142857143
91,06F,83.03542857142857,481741.8571428571
92,06H,157.4802857142857,970671.1428571428
93,06K,100.98100000000001,599405.2857142858
94,06L,88.84028571428571,408518.4285714286
95,06M,58.538714285714285,240060.42857142858
96,06N,103.90828571428571,647889.5714285715
97,06P,26.582571428571427,234835.14285714284
98,06Q,78.094,392117.4285714285
99,06T,78.21142857142857,352138.14285714284
100,06V,51.93714285714285,173928.28571428574
101,06W,39.59799999999999,235900.85714285713
102,06Y,53.73485714285714,228838.2857142857
103,07G,24.681285714285718,177148.42857142855
104,07H,55.314,314241.4285714286
105,07J,45.388,176036.85714285713
106,07K,56.921,251293.0
107,07L,19.169714285714285,224517.42857142855
108,07M,58.26242857142857,424688.0
109,07N,40.09599999999999,242034.7142857143
110,07P,39.78528571428571,384137.28571428574
111,07Q,60.801857142857145,349938.0
112,07R,25.46457142857143,284195.4285714286
113,07T,22.661571428571428,320106.28571428574
114,07V,53.13185714285714,413158.0
115,07W,47.29471428571429,438672.71428571426
116,07X,43.89557142857143,341092.8571428571
117,07Y,34.567571428571426,318574.85714285716
118,08A,30.375857142857143,296829.5714285714
119,08C,20.906714285714287,246955.7142857143
120,08D,31.020142857142858,319532.00000000006
121,08E,38.74,268240.7142857143
122,08F,49.52428571428572,278590.14285714284
123,08G,41.229857142857135,313619.85714285716
124,08H,22.04414285714286,253092.57142857145
125,08J,26.962714285714288,209773.0
126,08K,31.576,415701.4285714286
127,08L,30.60142857142857,331182.71428571426
128,08M,26.07557142857143,402160.5714285715
129,08N,37.33571428571429,322185.5714285714
130,08P,30.99885714285714,218262.00000000003
131,08Q,25.892285714285713,332000.14285714284
132,08R,26.95785714285714,224582.85714285713
133,08T,29.451857142857143,197824.2857142857
134,08V,18.075142857142858,326552.8571428571
135,08W,30.515,312200.28571428574
136,08X,34.83085714285715,405236.28571428574
137,08Y,29.79642857142857,251133.2857142857
138,09A,22.820571428571427,230448.14285714287
139,09C,24.802857142857142,134018.42857142858
140,09D,41.082142857142856,318000.28571428574
141,09E,45.85357142857143,225839.42857142855
142,09F,50.97071428571428,196643.2857142857
143,09G,130.60042857142855,515959.85714285716
144,09H,18.142714285714288,133923.2857142857
145,09J,45.47757142857143,269966.0
146,09L,31.910285714285713,182971.0
147,09N,41.93785714285715,225802.57142857142
148,09P,47.61971428571428,188875.7142857143
149,09W,48.78557142857143,299985.5714285714
150,09X,48.21342857142857,241663.14285714284
151,09Y,63.38242857142857,372702.4285714286
152,10A,48.157714285714285,206907.99999999997
153,10C,17.867,96948.71428571429
154,10D,20.604428571428567,113571.57142857143
155,10E,32.96457142857143,145764.0
156,10J,39.895714285714284,226429.7142857143
157,10K,45.26457142857143,204915.2857142857
158,10L,39.608000000000004,144615.7142857143
159,10Q,125.02557142857144,747245.4285714285
160,10R,32.47614285714286,230352.57142857142
161,10V,48.96228571428571,215602.2857142857
162,10X,37.28357142857143,286400.8571428571
163,112,0.0028571428571428567,771.9999999999999
164,11A,128.36242857142855,564029.2857142857
165,11E,39.14142857142857,208357.42857142858
166,11J,192.9654285714286,801735.7142857143
167,11M,135.41785714285714,648519.0
168,11N,139.2427142857143,576113.0
169,11X,136.51814285714283,576416.8571428572
170,12D,36.414142857142856,238503.2857142857
171,12F,69.87371428571429,336622.5714285714
172,13T,82.16785714285714,525379.5714285715
173,14L,60.382285714285715,642783.5714285715
174,14Y,101.83142857142856,560743.8571428572
175,15A,82.91885714285715,545188.2857142858
176,15C,165.4372857142857,1010714.0000000001
177,15D,62.58728571428572,461227.28571428574
178,15E,191.51200000000003,1312726.4285714286
179,15F,129.21285714285713,880340.4285714285
180,99A,77.10242857142856,533641.4285714285
181,99C,43.038000000000004,219250.2857142857
182,99D,38.318,167502.14285714284
183,99E,49.48385714285715,279612.14285714284
184,99F,43.50157142857143,185473.57142857145
185,99G,35.116,188406.71428571426
186,99H,60.56957142857143,307917.14285714284
187,99J,94.3607142857143,494275.1428571429
188,99K,39.62314285714285,170733.85714285716
189,99M,39.892714285714284,227718.14285714287
190,99N,107.99828571428571,491491.0
191,15N,286.5044285714286,1226595.857142857
192,NV6,0.0021666666666666666,101.0
